VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,description
2,2020-12-01 00:23:04,2020-12-01 00:45:51,3,17.76,2,N,132,162,1,52,0,0.5,10.8,6.12,0.3,72.22,2.5,random destip*#
1,2020-12-01 00:41:35,2020-12-01 00:52:03,1,2.40,1,N,161,143,1,10,3,0.5,2.75,0,0.3,16.55,2.5,random destip*#
1,2020-12-01 00:57:28,2020-12-01 01:16:25,1,5.10,1,N,143,168,2,18,3,0.5,0,0,0.3,21.8,2.5,random destip*#
2,2020-12-01 00:12:06,2020-12-01 00:37:49,1,11.21,1,N,48,89,4,-32,-0.5,-0.5,0,0,-0.3,-35.8,-2.5,random destip*#
2,2020-12-01 00:12:06,2020-12-01 00:37:49,1,11.21,1,N,48,188,2,32,0.5,0.5,0,0,0.3,35.8,2.5,random destip*#
2,2020-12-01 00:43:56,2020-12-01 01:05:51,2,16.77,2,N,132,170,1,52,0,0.5,10,6.12,0.3,71.42,2.5,random destip*#
2,2020-12-01 00:24:15,2020-12-01 00:27:34,1,.80,1,N,234,90,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5,random destip*#
2,2020-12-01 00:53:14,2020-12-01 00:59:37,1,1.52,1,N,230,143,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,random destip*#
2,2020-12-01 00:17:15,2020-12-01 00:38:57,1,3.56,1,N,68,232,2,16.5,0.5,0.5,0,0,0.3,20.3,2.5,random destip*#
2,2020-12-01 00:45:58,2020-12-01 00:58:43,1,3.83,1,N,79,48,1,13.5,0.5,0.5,2.7,0,0.3,20,2.5,random destip*#
1,2020-12-01 00:00:26,2020-12-01 00:07:25,1,2.90,1,N,137,262,1,9.5,3,0.5,2.66,0,0.3,15.96,2.5,random destip*#
1,2020-12-01 00:03:45,2020-12-01 00:20:00,1,6.90,1,N,170,168,2,20.5,3,0.5,0,0,0.3,24.3,2.5,random destip*#
1,2020-12-01 00:06:04,2020-12-01 00:23:52,1,10.30,1,N,138,162,2,30,3,0.5,0,6.12,0.3,39.92,2.5,random destip*#
2,2020-11-30 23:36:21,2020-11-30 23:57:45,1,10.07,1,N,138,142,1,29.5,0.5,0.5,7.88,6.12,0.3,47.3,2.5,random destip*#
2,2020-12-01 00:05:26,2020-12-01 00:20:47,1,4.29,1,N,142,231,1,15,0.5,0.5,3.76,0,0.3,22.56,2.5,random destip*#
1,2020-12-01 00:34:03,2020-12-01 00:53:37,1,4.30,1,N,186,232,2,16.5,3,0.5,0,0,0.3,20.3,2.5,random destip*#
2,2020-12-01 00:40:14,2020-12-01 00:41:19,1,.34,1,N,236,263,2,3,0.5,0.5,0,0,0.3,6.8,2.5,random destip*#
2,2020-12-01 00:49:41,2020-12-01 00:54:02,1,1.18,1,N,162,164,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,random destip*#
2,2020-12-01 00:08:49,2020-12-01 00:17:26,1,2.71,1,N,142,166,1,10,0.5,0.5,2.76,0,0.3,16.56,2.5,random destip*#
1,2020-12-01 00:27:13,2020-12-01 00:37:42,0,1.20,1,N,107,107,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5,random destip*#
2,2020-12-01 00:36:36,2020-12-01 00:43:14,5,2.87,1,N,162,75,1,9.5,0.5,0.5,1,0,0.3,14.3,2.5,random destip*#
2,2020-12-01 00:47:08,2020-12-01 00:50:35,5,1.31,1,N,236,141,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,random destip*#
2,2020-12-01 00:32:41,2020-12-01 00:38:20,3,1.88,1,N,161,68,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,random destip*#
